company_name,industry,state,country,email,workspace_id
Glow Medical Spa,Medical Spa,CA,US,contact@glowmedspa.com,default
Sunrise Wellness Center,Wellness,TX,US,info@sunrisewellness.com,default
Pacific Solar Solutions,Solar,WA,US,sales@pacificsolar.com,default
Elite HVAC Services,HVAC,IL,US,contact@elitehvac.com,default
California Law Firm,Legal Services,CA,US,info@calawfirm.com,default
Roofing Pros Inc,Roofing,OR,US,info@roofingpros.com,default
Dental Care Plus,Dental,FL,US,contact@dentalcareplus.com,default
Security Systems Corp,Security Systems,CA,US,sales@securitysystems.com,default
Midwest Plumbing,Plumbing,OH,US,info@midwestplumbing.com,default
Texas Roofing Co,Roofing,TX,US,contact@texasroofing.com,default
